Youtube,Name,Debate,Head,Tail,Transcript URL,Date,Notes,File
https://youtu.be/cm-UAfEdWg4,Third Clinton-Bush-Perot Presidential Debate - 1992,19_1992,8,463,https://www.debates.org/voter-education/debate-transcripts/october-19-1992-debate-transcript/,19-Oct-92,,19_1992_Third Clinton-Bush-Perot Presidential Debate - 1992.mp4
https://youtu.be/eg7-QJrJZV0,Second Clinton-Bush-Perot Presidential Debate Part 1 - 1992,20_1992,7,0,https://www.debates.org/voter-education/debate-transcripts/october-15-1992-first-half-debate-transcript/,15-Oct-92,This is the first part of the debate.,20_1992_Second Clinton-Bush-Perot Presidential Debate Part 1 - 1992.mp4
,Second Clinton-Bush-Perot Presidential Debate Part 2 - 1992,21_1992,0,45,https://www.debates.org/voter-education/debate-transcripts/october-15-1992-second-half-debate-transcript/,15-Oct-92,This is the second part of the debate.,21_1992_Second Clinton-Bush-Perot Presidential Debate Part 2 - 1992.mp4
https://youtu.be/ffnQaODsgD4,First Clinton-Dole Presidential Debate - 1996,22_1996,310,11,https://www.debates.org/voter-education/debate-transcripts/october-6-1996-debate-transcript/,06-Oct-96,,22_1996_First Clinton-Dole Presidential Debate - 1996.mp4
https://youtu.be/HZCcSTz1qLo,Gore-Kemp Vice Presidential Debate - 1996,23_1996,7,18,https://www.debates.org/voter-education/debate-transcripts/october-9-1996-debate-transcript/,09-Oct-96,,23_1996_Gore-Kemp Vice Presidential Debate - 1996.mp4
https://youtu.be/2SBiyLXto9s,Second Clinton-Dole Presidential Debate - 1996,24_1996,7,23,https://www.debates.org/voter-education/debate-transcripts/october-16-1996-debate-transcript/,16-Oct-96,,24_1996_Second Clinton-Dole Presidential Debate - 1996.mp4
https://youtu.be/HwQBeMUj_ps,First Gore-Bush Presidential Debate - 2000,25_2000,7,1268,https://www.debates.org/voter-education/debate-transcripts/october-3-2000-transcript/,03-Oct-00,Last 20 min of the debate are black,25_2000_First Gore-Bush Presidential Debate - 2000.mp4
https://youtu.be/HrHX9woYl5w,Lieberman-Cheney Vice Presidential Debate - 2000,26_2000,7,87,https://www.debates.org/voter-education/debate-transcripts/october-5-2000-debate-transcript/,05-Oct-00,,26_2000_Lieberman-Cheney Vice Presidential Debate - 2000.mp4
https://youtu.be/irzSo578gmg,Second Gore-Bush Presidential Debate - 2000,27_2000,12,28,https://www.debates.org/voter-education/debate-transcripts/october-11-2000-debate-transcript/,11-Oct-00,First sentence is HTML. Second sentence is not heard in the audio.,27_2000_Second Gore-Bush Presidential Debate - 2000.mp4
https://youtu.be/uKDFcOfqGMQ,Third Gore-Bush Presidential Debate - 2000,28_2000,7,30,https://www.debates.org/voter-education/debate-transcripts/october-17-2000-debate-transcript/,17-Oct-00,,28_2000_Third Gore-Bush Presidential Debate - 2000.mp4
https://youtu.be/WYpP-T0IcyA,First Bush-Kerry Presidential Debate - 2004,29_2004,8,57,https://www.debates.org/voter-education/debate-transcripts/september-30-2004-debate-transcript/,30-Sep-04,,29_2004_First Bush-Kerry Presidential Debate - 2004.mp4
https://youtu.be/_hEeMvhcNlE,Cheney-Edwards Vice Presidential Debate - 2004,30_2004,7,52,https://www.debates.org/voter-education/debate-transcripts/october-5-2004-transcript/,05-Oct-04,,30_2004_Cheney-Edwards Vice Presidential Debate - 2004.mp4
https://youtu.be/cKcav-uF4eY,Second Bush-Kerry Presidential Debate - 2004,31_2004,8,62,https://www.debates.org/voter-education/debate-transcripts/october-8-2004-debate-transcript/,08-Oct-04,,31_2004_Second Bush-Kerry Presidential Debate - 2004.mp4
https://youtu.be/cIHRMoVKXb0,Third Bush-Kerry Presidential Debate - 2004,32_2004,7,28,https://www.debates.org/voter-education/debate-transcripts/october-13-2004-debate-transcript/,13-Oct-04,First sentence is HTML.,32_2004_Third Bush-Kerry Presidential Debate - 2004.mp4
https://youtu.be/4b7NfEZWBzw,First McCain-Obama Presidential Debate - 2008,33_2008,8,32,https://www.debates.org/voter-education/debate-transcripts/2008-debate-transcript/,26-Sep-08,,33_2008_First McCain-Obama Presidential Debate - 2008.mp4
https://youtu.be/eOombKZSsj4,Biden-Palin Vice Presidential Debate - 2008,34_2008,7,35,https://www.debates.org/voter-education/debate-transcripts/2008-debate-transcript-2/,02-Oct-08,,34_2008_Biden-Palin Vice Presidential Debate - 2008.mp4
https://youtu.be/V0ppjZvvgDU,Second McCain-Obama Presidential Debate - 2008,35_2008,7,41,https://www.debates.org/voter-education/debate-transcripts/october-7-2008-debate-transcrip/,07-Oct-08,,35_2008_Second McCain-Obama Presidential Debate - 2008.mp4
https://youtu.be/vRQhXooojjY,Third McCain-Obama Presidential Debate - 2008,36_2008,7,29,https://www.debates.org/voter-education/debate-transcripts/october-15-2008-debate-transcript/,15-Oct-08,,36_2008_Third McCain-Obama Presidential Debate - 2008.mp4
https://youtu.be/KfaBRyCKRhk,First Obama-Romney Presidential Debate - 2012,37_2012,7,27,https://www.debates.org/voter-education/debate-transcripts/october-3-2012-debate-transcript/,03-Oct-12,,37_2012_First Obama-Romney Presidential Debate - 2012.mp4
https://youtu.be/yYcdSwbrErI,Biden-Ryan Vice Presidential Debate - 2012,38_2012,8,29,https://www.debates.org/voter-education/debate-transcripts/october-11-2012-the-biden-romney-vice-presidential-debate/,11-Oct-12,,38_2012_Biden-Ryan Vice Presidential Debate - 2012.mp4
https://youtu.be/jhXgbrkFJ_s,Second Obama-Romney Presidential Debate - 2012,39_2012,8,35,https://www.debates.org/voter-education/debate-transcripts/october-16-2012-the-second-obama-romney-presidential-debate/,16-Oct-12,,39_2012_Second Obama-Romney Presidential Debate - 2012.mp4
https://youtu.be/hCi4WHx3yDA,Third Obama-Romney Presidential Debate - 2012,40_2012,8,43,https://www.debates.org/voter-education/debate-transcripts/october-22-2012-the-third-obama-romney-presidential-debate/,22-Oct-12,,40_2012_Third Obama-Romney Presidential Debate - 2012.mp4
https://youtu.be/LxhhOfe3uWc,First Clinton-Trump Presidential Debate - 2016,41_2016,8,12,https://www.debates.org/voter-education/debate-transcripts/september-26-2016-debate-transcript/,26-Sep-16,,41_2016_First Clinton-Trump Presidential Debate - 2016.mp4
https://youtu.be/7fmzBwnmQJM,Second Clinton-Trump Presidential Debate - 2016,42_2016,73,15,https://www.nytimes.com/2016/10/10/us/politics/transcript-second-debate.html,09-Oct-16,Problem with the transcription. Only first paragraph of each speech.,42_2016_Second Clinton-Trump Presidential Debate - 2016.mp4
https://youtu.be/0s4HTZUI2QU,Third Clinton-Trump Presidential Debate - 2016,43_2016,7,11,https://www.debates.org/voter-education/debate-transcripts/october-19-2016-debate-transcript/ or https://www.nytimes.com/2016/10/20/us/politics/third-debate-transcript.html check,19-Oct-16,Problem with the transcription. Only first paragraph of each speech.,43_2016_Third Clinton-Trump Presidential Debate - 2016.mp4
https://youtu.be/ZDv3JXcRdas,First Kaine-Pence Vice Presidential Debate - 2016,44_2016,7,12,https://www.debates.org/voter-education/debate-transcripts/october-4-2016-debate-transcript/,04-Oct-16,,44_2016_First Kaine-Pence Vice Presidential Debate - 2016.mp4
https://youtu.be/yHFI8TsSKXY,First Biden-Trump Presidential Debate - 2020,45_2020,115,,https://www.debates.org/voter-education/debate-transcripts/october-19-2016-debate-transcript/,29-Sep-20,Video and transcript start and end in sync. Transcript URL is not original source.,45_2020_First Biden-Trump Presidential Debate - 2020.mp4
https://youtu.be/iDKm7feXJDw,Harris-Pence Vice Presidential Debate - 2020,46_2020,99,19,https://www.debates.org/voter-education/debate-transcripts/vice-presidential-debate-at-the-university-of-utah-in-salt-lake-city-utah/,07-Oct-20,Transcript URL is not original source.,46_2020_Harris-Pence Vice Presidential Debate - 2020.mp4
https://youtu.be/bPiofmZGb8o,Second Biden-Trump Presidential Debate - 2020,47_2020,1522,120,https://www.debates.org/voter-education/debate-transcripts/october-22-2020-debate-transcript/,22-Oct-20,"Transcript URL is not original source. First sentences of our transcript are from the moderator's introduction before, which does't appear in most of the videos.",47_2020_Second Biden-Trump Presidential Debate - 2020.mp4
